Data;Categoria;Descrição;Valor;;;;
05/01/2026;Alimentação;Mercado;350.00;;;;
08/01/2026;Transporte;Uber;45.50;;;;
06/01/2026;Moradia;Aluguel;1200.00;;;;
08/01/2026;Lazer;Cinema;60.00;;;;
09/01/2026;Alimentação;Restaurante;80.00;;;;
09/01/2026;Saúde;Farmácia;120.00;;;;
10/01/2026;Transporte;Gasolina;200.00;;;;
11/01/2026;Educação;Curso online;150.00;;;;
11/01/2026;Alimentação;Mercado;410.00;;;;
11/01/2026;Moradia;Conta de luz;180.00;;;;
13/01/2026;Lazer;Streaming;55.90;;;;
15/01/2026;Transporte;Uber;38.00;;;;
15/01/2026;Saúde;Consulta médica;250.00;;;;
20/01/2026;Alimentação;Restaurante;95.00;;;;
22/01/2026;Moradia;conta de gás;80.00;;;;
22/01/2026;Transporte;Gasolina;210.00;;;;
22/01/2026;Alimentação;Mercado;380.00;;;;
26/01/2024;Lazer;Cinema;50.00;;;;
28/01/2026;Educação;Livros;90.00;;;;
30/01/2026;Moradia;Conta de água;70.00;;;;
30/01/2026;Moradia;Conta internet;140.00;;;;
03/02/2026;Moradia;Aluguel;1200.00;;;;
03/02/2026;Alimentação;Mercado;310.20;;;;
03/02/2026;Transporte;Uber;25.00;;;;
05/02/2026;Alimentação;Padaria;20.00;;;;
08/02/2026;Transporte;Gasolina;155.00;;;;
10/02/2026;Moradia;Conta de água;60.40;;;;
11/02/2026;Alimentação;Restaurante;58.00;;;;
13/02/2026;Saúde;Consulta médica;250.00;;;;
15/02/2026;Alimentação;Mercado;205.00;;;;
17/02/2026;Transporte;Uber;17.80;;;;
18/02/2026;Lazer;Streaming;55.90;;;;
20/02/2026;Educação;Livros;90.00;;;;
22/02/2026;Alimentação;Restaurante;68.50;;;;
24/02/2026;Moradia;Conta de internet;99.90;;;;
26/02/2026;Transporte;Gasolina;148.00;;;;
28/02/2026;Lazer;Cinema;42.00;;;;
03/03/2026;Moradia;Aluguel;1200.00;;;;
04/03/2026;Alimentação;Mercado;295.00;;;;
05/03/2026;Transporte;Uber;21.50;;;;
06/03/2026;Alimentação;Padaria;19.50;;;;
06/03/2026;Transporte;Gasolina;152.00;;;;
06/03/2026;Moradia;Conta de luz;138.20;;;;
11/03/2026;Alimentação;Restaurante;60.00;;;;
11/03/2026;Saúde;Farmácia;42.00;;;;
16/03/2026;Alimentação;Mercado;220.00;;;;
17/03/2026;Transporte;Uber;18.00;;;;
18/03/2026;Lazer;Streaming;55.90;;;;
20/03/2026;Educação;Curso online;150.00;;;;
20/03/2026;Alimentação;Restaurante;75.00;;;;
24/03/2026;Moradia;Conta de internet;99.90;;;;
27/03/2026;Transporte;Gasolina;145.00;;;;
27/03/2026;Lazer;Cinema;48.00;;;;
